,Unnamed: 0,Rnk,Rider,Team,Age,Pnt,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking,Year,Month,Day,old_elo,new_elo,old_rd,new_rd,old_team_elo,new_team_elo,old_team_rd,new_team_rd,Date1
221815,221868.0,76,1407.0,41,28.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1300.3087118676444,350.0,267.3822067751187,2016-01-24
199921,199974.0,8,1228.0,10,28.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1380.1852271205867,350.0,267.3822067751187,2016-01-24
199979,200032.0,50,1230.0,41,24.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,984.7091645673561,350.0,223.2269653039427,1500.0,1300.3087118676444,350.0,267.3822067751187,2016-01-24
221424,221477.0,36,1405.0,105,30.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,2178.9503796500085,350.0,267.3822067751187,2016-01-24
201135,201188.0,83,1239.0,56,30.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1060.6791661088178,350.0,267.3822067751187,2016-01-24
219974,220027.0,DNF,1397.0,42,25.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1460.061742373529,350.0,267.3822067751187,2016-01-24
201509,201562.0,30,1242.0,101,21.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1539.938257626471,350.0,267.3822067751187,2016-01-24
219658,219711.0,124,1395.0,92,29.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1220.4321966147022,350.0,267.3822067751187,2016-01-24
205225,205278.0,3,1273.0,42,31.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1460.061742373529,350.0,267.3822067751187,2016-01-24
206005,206058.0,130,1276.0,74,35.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1779.5678033852978,350.0,267.3822067751187,2016-01-24
217637,217690.0,81,1384.0,52,27.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1699.6912881323556,350.0,267.3822067751187,2016-01-24
175611,175654.0,58,980.0,118,26.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1147.4325862829278,350.0,223.2269653039427,1500.0,2019.1973491441245,350.0,267.3822067751187,2016-01-24
217056,217109.0,25,1379.0,92,27.0,32.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1689.8439920015005,350.0,223.2269653039427,1500.0,1220.4321966147022,350.0,267.3822067751187,2016-01-24
206747,206800.0,57,1279.0,46,27.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,876.2268834236414,350.0,223.2269653039427,1500.0,1140.55568136176,350.0,267.3822067751187,2016-01-24
215612,215665.0,24,1371.0,7,35.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,821.0496203499914,350.0,267.3822067751187,2016-01-24
214082,214135.0,105,1358.0,7,27.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,659.262321136212,350.0,223.2269653039427,1500.0,821.0496203499914,350.0,267.3822067751187,2016-01-24
207127,207180.0,151,1283.0,92,26.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,1220.4321966147022,350.0,267.3822067751187,2016-01-24
226698,226752.0,85,1457.0,74,27.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,605.0211805643546,350.0,223.2269653039427,1500.0,1779.5678033852978,350.0,267.3822067751187,2016-01-24
227356,227410.0,160,1464.0,6,28.0,5.0,10,-1.0,1/24/2016,-,0.0,0 km,47.0,2016,1,24,1500.0,1500.0,350.0,350.0,1500.0,980.8026508558758,350.0,267.3822067751187,2016-01-24
